ts,button,state
1764423965.7861717,24,0
1764423966.4306996,23,0
1764423966.430841,24,1
1764423966.4994097,24,0
1764423966.5010374,25,1
1764423966.9759142,24,1
1764423966.9766645,25,0
1764423967.0809283,23,1
1764423967.082084,24,0
1764423967.6925993,23,0
1764423967.6941595,24,1
1764423967.7628808,24,0
1764423967.7630236,25,1
1764423968.2726805,24,1
1764423968.274405,25,0
1764423968.412135,23,1
1764423968.4128995,24,0
1764423969.3935528,23,0
1764423969.3961155,24,1
1764423969.5321262,24,0
1764423969.532695,25,1
1764423970.0785153,24,1
1764423970.0787797,25,0
1764423970.1479416,23,1
1764423970.1480923,24,0
1764423970.522725,23,0
1764423970.5228772,24,1
1764423970.590828,24,0
1764423970.590965,25,1
1764423971.0316863,24,1
1764423971.0318227,25,0
1764423971.1335664,23,1
1764423971.1337268,24,0
1764423971.4725447,23,0
1764423971.472966,24,1
1764423971.541112,24,0
1764423971.5425801,25,1
1764423971.9501116,24,1
1764423971.9502559,25,0
1764423972.017973,23,1
1764423972.0182507,24,0
1764423973.1422827,23,0
1764423973.1434772,24,1
1764423973.2810452,24,0
1764423973.2811818,25,1
1764423974.5705795,24,1
1764423974.5719965,25,0
1764423974.6059864,23,1
1764423974.6068366,24,0
1764423975.150371,23,0
1764423975.1505432,24,1
1764423975.186117,24,0
1764423975.186254,25,1
1764423975.5919216,23,1
1764423975.592061,25,0
1764424793.7700226,7,1
1764424793.918956,7,0
1764424858.1449628,7,1
1764424858.3274076,7,0
1764424866.1112182,7,1
1764424866.2166731,7,0
1764424892.7912912,33,1
1764424892.8273082,33,0
1764424893.0031106,23,0
1764424893.003785,24,1
1764424893.07566,24,0
1764424893.075828,25,1
1764424897.7139626,7,1
1764424897.8200614,7,0
1764424899.3823044,24,1
1764424899.382671,25,0
1764424899.7067,23,1
1764424899.7068398,24,0
1764424900.3813188,23,0
1764424900.3825462,24,1
1764424902.799487,23,1
1764424902.800595,24,0
1764424903.651672,23,0
1764424903.6524918,24,1
1764424903.6891432,24,0
1764424903.6892848,25,1
1764424904.9094105,24,1
1764424904.90987,25,0
1764424904.9465003,23,1
1764424904.9472067,24,0
1764424905.8705282,23,0
1764424905.870858,24,1
1764424907.4691,24,0
1764424907.469248,25,1
1764424908.2121158,24,1
1764424908.2130716,25,0
1764424908.3543267,23,1
1764424908.3544981,24,0
1764424908.990524,23,0
1764424908.991098,24,1
1764424909.7791352,24,0
1764424909.7801545,25,1
1764424910.8830569,24,1
1764424910.883778,25,0
1764424910.992227,23,1
1764424910.9923692,24,0
1764424911.4171796,23,0
1764424911.4186497,25,1
1764424911.8433688,24,1
1764424911.844032,25,0
1764424911.915666,23,1
1764424911.9163852,24,0
1764424922.1675904,23,0
1764424922.1683898,24,1
1764424922.2044554,24,0
1764424922.206174,25,1
1764424924.9419532,24,1
1764424924.942094,25,0
1764424928.2705815,23,1
1764424928.2715158,24,0
1764424928.985398,23,0
1764424928.9860864,24,1
1764424929.021367,24,0
1764424929.0216768,25,1
1764424931.886211,24,1
1764424931.8866172,25,0
1764424933.012657,23,1
1764424933.0134,24,0
1764425085.7823844,7,1
1764425085.9053843,7,0
1764425087.0338047,23,0
1764425087.0339382,24,1
1764425088.5847535,24,0
1764425088.5849972,25,1
1764425090.7014062,24,1
1764425090.702488,25,0
1764425091.985879,23,1
1764425091.9868414,24,0
1764425092.5411181,23,0
1764425092.5414486,24,1
1764425094.219463,24,0
1764425094.2202692,25,1
1764425095.5672,24,1
1764425095.5677698,25,0
1764425096.3083472,23,1
1764425096.3097382,24,0
1764425096.7805228,23,0
1764425096.7813847,24,1
1764425096.9313934,24,0
1764425096.9317465,25,1
1764425098.7299097,24,1
1764425098.7349286,25,0
1764425100.4312525,24,0
1764425100.431497,25,1
1764425101.485474,24,1
1764425101.4864442,25,0
1764425101.5226266,23,1
1764425101.5242558,24,0
1764425104.386158,23,0
1764425104.3868704,24,1
1764425106.0979857,24,0
1764425106.09895,25,1
1764425106.9073303,24,1
1764425106.9095159,25,0
1764425107.7496932,24,0
1764425107.7502377,25,1
1764425109.5056942,24,1
1764425109.5058477,25,0
1764425109.542354,23,1
1764425109.5436833,24,0
1764425109.7628016,23,0
1764425109.7635126,24,1
1764425109.7999809,24,0
1764425109.8005764,25,1
1764425111.081245,24,1
1764425111.08181,25,0
1764425131.9247582,24,0
1764425131.9259884,25,1
1764425131.9615698,0,1
1764425132.070861,0,0
1764425135.8220842,24,1
1764425135.8223305,25,0
1764425137.4525928,23,1
1764425137.4534624,24,0
1764425138.6234667,23,0
1764425138.6239176,24,1
1764425140.2151854,24,0
1764425140.2160919,25,1
1764425141.1980882,24,1
1764425141.1992755,25,0
1764425144.2517178,24,0
1764425144.2530708,25,1
1764425145.2088082,24,1
1764425145.210539,25,0
1764425146.58575,23,1
1764425146.5858965,24,0
1764425148.3695283,23,0
1764425148.3706698,24,1
1764425149.684962,24,0
1764425149.6854854,25,1
1764425150.6259997,24,1
1764425150.6281168,25,0
1764425152.0805845,24,0
1764425152.080729,25,1
1764425154.813843,24,1
1764425154.8145866,25,0
1764425157.5311596,23,1
1764425157.5314636,24,0
1764425180.1783483,23,0
1764425180.1797078,24,1
1764425180.2174442,24,0
1764425180.2181876,25,1
1764425180.9968853,24,1
1764425180.9973214,25,0
1764425181.8456748,24,0
1764425181.8465183,25,1
1764425183.107048,24,1
1764425183.1102424,25,0
1764425183.1469724,23,1
1764425183.14925,24,0
1764425277.4688015,23,0
1764425277.4695003,24,1
1764425278.435856,24,0
1764425278.435983,25,1
1764425280.3235748,24,1
1764425280.3240657,25,0
1764425280.7771242,23,1
1764425280.7772686,24,0
1764425281.3556738,23,0
1764425281.3558667,24,1
1764425281.5973606,24,0
1764425281.5978172,25,1
1764425282.0140913,23,1
1764425282.0144036,25,0
1764425282.4929388,23,0
1764425282.493085,24,1
1764425283.0365934,24,0
1764425283.0372498,25,1
1764425283.4535978,23,1
1764425283.4538677,25,0
1764425345.69186,23,0
1764425345.6921306,24,1
1764425346.6034136,24,0
1764425346.6044788,25,1
1764425348.833155,24,1
1764425348.8335454,25,0
1764425349.5416045,23,1
1764425349.5427468,24,0
1764425350.2197385,23,0
1764425350.2201424,24,1
1764425350.3212106,24,0
1764425350.322378,25,1
1764425351.2007794,24,1
1764425351.2011442,25,0
1764425352.079122,23,1
1764425352.080574,24,0
1764425352.6188774,23,0
1764425352.6193252,24,1
1764425353.396673,24,0
1764425353.3968565,25,1
1764425359.8518867,24,1
1764425359.8524816,25,0
1764425359.8869667,23,1
1764425359.887485,24,0
1764425360.6338966,23,0
1764425360.6342957,25,1
1764425360.972485,24,1
1764425360.9742606,25,0
1764425361.6501138,23,1
1764425361.6506512,24,0
1764425362.3301568,23,0
1764425362.3303006,24,1
1764425362.6345158,23,1
1764425362.63503,24,0
1764425363.1816373,23,0
1764425363.1822278,24,1
1764425364.4363847,24,0
1764425364.4371843,25,1
1764425364.6769562,24,1
1764425364.677101,25,0
1764425364.711212,23,1
1764425364.711352,24,0
1764425365.8319473,23,0
1764425365.8320966,24,1
1764425367.0887096,24,0
1764425367.089423,25,1
1764425368.4508405,24,1
1764425368.4510167,25,0
1764425368.6206405,23,1
1764425368.6217856,24,0
1764425565.7924688,23,0
1764425565.7932563,24,1
1764425565.8296428,24,0
1764425565.8328123,25,1
1764425566.461533,24,1
1764425566.4631066,25,0
1764425567.4462018,23,1
1764425567.44661,24,0
1764425568.3892558,23,0
1764425568.391991,24,1
1764425568.5319421,24,0
1764425568.5323977,25,1
1764425569.0880995,24,1
1764425569.090203,25,0
1764425569.3344028,23,1
1764425569.3350616,24,0
1764425776.9054017,23,0
1764425776.9059548,24,1
1764425779.166802,24,0
1764425779.1678069,25,1
1764425781.194599,24,1
1764425781.1966448,25,0
1764425781.9111466,23,1
1764425781.9159837,24,0
1764425782.364113,23,0
1764425782.3646526,24,1
1764425782.5716155,24,0
1764425782.5720048,25,1
1764425785.4671242,24,1
1764425785.468698,25,0
1764425786.052563,23,1
1764425786.0529068,24,0
1764425786.6251824,23,0
1764425786.62709,24,1
1764425786.9001026,24,0
1764425786.9007976,25,1
1764425788.1558657,33,1
1764425788.190461,33,0
1764425788.7690294,24,1
1764425788.7701461,25,0
1764425789.0057464,23,1
1764425789.006515,24,0
1764425789.6548066,23,0
1764425789.6552534,24,1
1764425789.7572439,24,0
1764425789.757685,25,1
1764425791.183595,24,1
1764425791.184208,25,0
1764425791.21817,23,1
1764425791.219134,24,0
1764425791.7588997,23,0
1764425791.7595036,24,1
1764425791.7934055,24,0
1764425791.7937496,25,1
1764425794.2833443,24,1
1764425794.285606,25,0
1764425795.1718616,23,1
1764425795.1723397,24,0
1764425795.9515169,23,0
1764425795.9518967,24,1
1764425795.985948,24,0
1764425795.9862776,25,1
1764425797.2728345,24,1
1764425797.2740853,25,0
1764425797.343936,23,1
1764425797.3459263,24,0
1764425797.9583454,23,0
1764425797.9606533,24,1
1764425798.0997715,24,0
1764425798.0999908,25,1
1764425802.3695536,24,1
1764425802.3706262,25,0
1764425945.8709834,23,1
1764425945.8715143,24,0
1764425950.3158085,23,0
1764425950.3162222,24,1
1764425953.911045,24,0
1764425953.9119568,25,1
1764425956.7992,24,1
1764425956.7993896,25,0
1764425956.9037771,23,1
1764425956.90429,24,0
